GeneID,Chromosome,Start,End,Strand,Length,Class,Assembly,Old_GeneID,Description,Name
SAUSA300_RS08080,NC_007793.1,1633080,1634126,-,1047,protein_coding,GCF_000013465.1,SAUSA300_1480,CHAP domain-containing protein,NA
SAUSA300_RS08085,NC_007793.1,1634116,1635963,-,1848,protein_coding,GCF_000013465.1,SAUSA300_1481,membrane protein,NA
SAUSA300_RS08090,NC_007793.1,1635968,1637326,-,1359,protein_coding,GCF_000013465.1,SAUSA300_1482,cell division protein FtsK,NA
SAUSA300_RS08095,NC_007793.1,1637380,1639875,-,2496,protein_coding,GCF_000013465.1,SAUSA300_1483,DUF87 domain-containing protein,NA
SAUSA300_RS08100,NC_007793.1,1639910,1640293,-,384,protein_coding,GCF_000013465.1,SAUSA300_1484,hypothetical protein,NA
SAUSA300_RS08105,NC_007793.1,1640305,1640565,-,261,protein_coding,GCF_000013465.1,SAUSA300_1485,hypothetical protein,NA
SAUSA300_RS08110,NC_007793.1,1640570,1641625,-,1056,protein_coding,GCF_000013465.1,SAUSA300_1486,conjugal transfer protein,NA
SAUSA300_RS08115,NC_007793.1,1641686,1642777,-,1092,protein_coding,GCF_000013465.1,SAUSA300_1487,replication initiation factor domain-containing protein,NA
SAUSA300_RS08120,NC_007793.1,1642952,1643254,-,303,protein_coding,GCF_000013465.1,SAUSA300_1488,hypothetical protein,NA
SAUSA300_RS08125,NC_007793.1,1643268,1643588,-,321,protein_coding,GCF_000013465.1,SAUSA300_1489,DUF961 domain-containing protein,NA
SAUSA300_RS08130,NC_007793.1,1643739,1644023,-,285,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08135,NC_007793.1,1644418,1644975,-,558,protein_coding,GCF_000013465.1,SAUSA300_1490,elongation factor P,efp
SAUSA300_RS08140,NC_007793.1,1645001,1646062,-,1062,protein_coding,GCF_000013465.1,SAUSA300_1491,aminopeptidase P family protein,NA
SAUSA300_RS08145,NC_007793.1,1646167,1646748,+,582,protein_coding,GCF_000013465.1,SAUSA300_1492,hypothetical protein,NA
SAUSA300_RS08150,NC_007793.1,1646762,1646980,+,219,protein_coding,GCF_000013465.1,SAUSA300_1493,membrane protein,NA
SAUSA300_RS08155,NC_007793.1,1647044,1647874,-,831,protein_coding,GCF_000013465.1,SAUSA300_1494,lipoate--protein ligase family protein,NA
SAUSA300_RS08160,NC_007793.1,1648032,1648418,+,387,protein_coding,GCF_000013465.1,SAUSA300_1495,rhodanese-like domain-containing protein,NA
SAUSA300_RS08165,NC_007793.1,1648783,1650255,-,1473,protein_coding,GCF_000013465.1,SAUSA300_1496,glycine dehydrogenase subunit 2,NA
SAUSA300_RS08170,NC_007793.1,1650248,1651594,-,1347,protein_coding,GCF_000013465.1,SAUSA300_1497,aminomethyl-transferring glycine dehydrogenase subunit GcvPA,NA
SAUSA300_RS08175,NC_007793.1,1651614,1652705,-,1092,protein_coding,GCF_000013465.1,SAUSA300_1498,glycine cleavage system aminomethyltransferase GcvT,gcvT
SAUSA300_RS08180,NC_007793.1,1652864,1653388,-,525,protein_coding,GCF_000013465.1,SAUSA300_1499,shikimate kinase,NA
SAUSA300_RS08185,NC_007793.1,1653378,1653524,-,147,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08190,NC_007793.1,1653621,1654118,-,498,protein_coding,GCF_000013465.1,NA,prepilin-type N-terminal cleavage/methylation domain-containing protein,NA
SAUSA300_RS08195,NC_007793.1,1654036,1654356,-,321,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08200,NC_007793.1,1654322,1654768,-,447,protein_coding,GCF_000013465.1,SAUSA300_1501,type II secretion system protein,NA
SAUSA300_RS08205,NC_007793.1,1654746,1655057,-,312,protein_coding,GCF_000013465.1,SAUSA300_1502,prepilin-type N-terminal cleavage/methylation domain-containing protein,NA
SAUSA300_RS08210,NC_007793.1,1655071,1656141,-,1071,protein_coding,GCF_000013465.1,SAUSA300_1503,type II secretion system F family protein,NA
SAUSA300_RS08215,NC_007793.1,1656113,1657087,-,975,protein_coding,GCF_000013465.1,SAUSA300_1504,type II/IV secretion system protein,NA
SAUSA300_RS08220,NC_007793.1,1657139,1657762,-,624,protein_coding,GCF_000013465.1,SAUSA300_1505,MBL fold metallo-hydrolase,NA
SAUSA300_RS08225,NC_007793.1,1657759,1658088,-,330,protein_coding,GCF_000013465.1,SAUSA300_1506,MTH1187 family thiamine-binding protein,NA
SAUSA300_RS08230,NC_007793.1,1658088,1659074,-,987,protein_coding,GCF_000013465.1,SAUSA300_1507,ROK family glucokinase,NA
SAUSA300_RS08235,NC_007793.1,1659071,1659274,-,204,protein_coding,GCF_000013465.1,SAUSA300_1508,YqgQ family protein,NA
SAUSA300_RS08240,NC_007793.1,1659255,1660718,-,1464,protein_coding,GCF_000013465.1,SAUSA300_1509,rhomboid family intramembrane serine protease,NA
SAUSA300_RS08245,NC_007793.1,1660730,1661269,-,540,protein_coding,GCF_000013465.1,SAUSA300_1510,5-formyltetrahydrofolate cyclo-ligase,NA
SAUSA300_RS08250,NC_007793.1,1661478,1661627,-,150,protein_coding,GCF_000013465.1,SAUSA300_1511,50S ribosomal protein L33,rpmG
SAUSA300_RS08255,NC_007793.1,1661740,1663815,-,2076,protein_coding,GCF_000013465.1,SAUSA300_1512,penicillin-binding protein 2,NA
SAUSA300_RS08260,NC_007793.1,1663936,1664535,-,600,protein_coding,GCF_000013465.1,SAUSA300_1513,superoxide dismutase,NA
SAUSA300_RS08265,NC_007793.1,1664812,1665222,-,411,protein_coding,GCF_000013465.1,SAUSA300_1514,transcriptional repressor,NA
SAUSA300_RS08270,NC_007793.1,1665209,1666072,-,864,protein_coding,GCF_000013465.1,SAUSA300_1515,metal ABC transporter permease,NA
SAUSA300_RS08275,NC_007793.1,1666114,1666899,-,786,protein_coding,GCF_000013465.1,SAUSA300_1516,metal ABC transporter ATP-binding protein,NA
SAUSA300_RS08280,NC_007793.1,1667025,1667915,-,891,protein_coding,GCF_000013465.1,SAUSA300_1517,deoxyribonuclease IV,NA
SAUSA300_RS08285,NC_007793.1,1667925,1669271,-,1347,protein_coding,GCF_000013465.1,SAUSA300_1518,DEAD/DEAH box helicase,NA
SAUSA300_RS08290,NC_007793.1,1669385,1670485,-,1101,protein_coding,GCF_000013465.1,SAUSA300_1519,Nif3-like dinuclear metal center hexameric protein,NA
SAUSA300_RS08295,NC_007793.1,1670488,1671165,-,678,protein_coding,GCF_000013465.1,SAUSA300_1520,tRNA (adenine-N(1))-methyltransferase,NA
SAUSA300_RS08300,NC_007793.1,1671296,1672402,-,1107,protein_coding,GCF_000013465.1,SAUSA300_1521,RNA polymerase sigma factor RpoD,rpoD
SAUSA300_RS08305,NC_007793.1,1672626,1674425,-,1800,protein_coding,GCF_000013465.1,SAUSA300_1522,DNA primase,NA
SAUSA300_RS08310,NC_007793.1,1674486,1675304,-,819,protein_coding,GCF_000013465.1,SAUSA300_1523,kinase/pyrophosphorylase,NA
SAUSA300_RS08315,NC_007793.1,1675315,1675938,-,624,protein_coding,GCF_000013465.1,SAUSA300_1524,helix-turn-helix transcriptional regulator,NA
SAUSA300_RS08320,NC_007793.1,1676273,1677664,+,1392,protein_coding,GCF_000013465.1,SAUSA300_1525,glycine--tRNA ligase,NA
SAUSA300_RS08325,NC_007793.1,1677814,1678560,-,747,protein_coding,GCF_000013465.1,SAUSA300_1526,DNA repair protein RecO,recO
SAUSA300_RS08330,NC_007793.1,1678588,1679487,-,900,protein_coding,GCF_000013465.1,SAUSA300_1527,GTPase Era,NA
SAUSA300_RS08335,NC_007793.1,1679488,1679892,-,405,protein_coding,GCF_000013465.1,SAUSA300_1528,cytidine deaminase,cdd
SAUSA300_RS08340,NC_007793.1,1679903,1680247,-,345,protein_coding,GCF_000013465.1,SAUSA300_1529,diacylglycerol kinase,NA
SAUSA300_RS08345,NC_007793.1,1680250,1680717,-,468,protein_coding,GCF_000013465.1,SAUSA300_1530,rRNA maturation RNase YbeY,ybeY
SAUSA300_RS08350,NC_007793.1,1680718,1681665,-,948,protein_coding,GCF_000013465.1,SAUSA300_1531,PhoH family protein,NA
SAUSA300_RS08355,NC_007793.1,1681969,1682667,-,699,protein_coding,GCF_000013465.1,SAUSA300_1532,hypothetical protein,NA
SAUSA300_RS08360,NC_007793.1,1682684,1683673,-,990,protein_coding,GCF_000013465.1,SAUSA300_1533,flotillin-like protein FloA,NA
SAUSA300_RS08365,NC_007793.1,1683691,1684374,-,684,protein_coding,GCF_000013465.1,SAUSA300_1534,hypothetical protein,NA
SAUSA300_RS08370,NC_007793.1,1684618,1684794,-,177,protein_coding,GCF_000013465.1,SAUSA300_1535,30S ribosomal protein S21,NA
SAUSA300_RS08375,NC_007793.1,1685087,1686433,-,1347,protein_coding,GCF_000013465.1,SAUSA300_1536,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB,mtaB
SAUSA300_RS08380,NC_007793.1,1686440,1687192,-,753,protein_coding,GCF_000013465.1,SAUSA300_1537,16S rRNA (uracil(1498)-N(3))-methyltransferase,NA
SAUSA300_RS08385,NC_007793.1,1687194,1688132,-,939,protein_coding,GCF_000013465.1,SAUSA300_1538,50S ribosomal protein L11 methyltransferase,NA
SAUSA300_RS08390,NC_007793.1,1688136,1689275,-,1140,protein_coding,GCF_000013465.1,SAUSA300_1539,molecular chaperone DnaJ,dnaJ
SAUSA300_RS08395,NC_007793.1,1689411,1691243,-,1833,protein_coding,GCF_000013465.1,SAUSA300_1540,molecular chaperone DnaK,dnaK
SAUSA300_RS08400,NC_007793.1,1691312,1691938,-,627,protein_coding,GCF_000013465.1,SAUSA300_1541,nucleotide exchange factor GrpE,grpE
SAUSA300_RS08405,NC_007793.1,1691970,1692947,-,978,protein_coding,GCF_000013465.1,SAUSA300_1542,heat-inducible transcription repressor HrcA,hrcA
SAUSA300_RS08410,NC_007793.1,1693047,1694171,-,1125,protein_coding,GCF_000013465.1,SAUSA300_1543,oxygen-independent coproporphyrinogen III oxidase,NA
SAUSA300_RS08420,NC_007793.1,1694734,1696557,-,1824,protein_coding,GCF_000013465.1,SAUSA300_1544,elongation factor 4,lepA
SAUSA300_RS08425,NC_007793.1,1696903,1697154,+,252,protein_coding,GCF_000013465.1,SAUSA300_1545,30S ribosomal protein S20,NA
SAUSA300_RS08430,NC_007793.1,1697199,1698173,-,975,protein_coding,GCF_000013465.1,SAUSA300_1546,DNA polymerase III subunit delta,holA
SAUSA300_RS08435,NC_007793.1,1698230,1700377,-,2148,protein_coding,GCF_000013465.1,SAUSA300_1547,DNA internalization-related competence protein ComEC/Rec2,NA
SAUSA300_RS08440,NC_007793.1,1700436,1700897,-,462,protein_coding,GCF_000013465.1,SAUSA300_1548,ComE operon protein 2,NA
SAUSA300_RS08445,NC_007793.1,1700989,1701675,-,687,protein_coding,GCF_000013465.1,SAUSA300_1549,ComEA family DNA-binding protein,NA
SAUSA300_RS08450,NC_007793.1,1701715,1702431,-,717,protein_coding,GCF_000013465.1,SAUSA300_1550,class I SAM-dependent methyltransferase,NA
SAUSA300_RS08455,NC_007793.1,1702434,1702787,-,354,protein_coding,GCF_000013465.1,SAUSA300_1551,ribosome silencing factor,rsfS
SAUSA300_RS08460,NC_007793.1,1702788,1703372,-,585,protein_coding,GCF_000013465.1,SAUSA300_1552,HD domain-containing protein,NA
SAUSA300_RS08465,NC_007793.1,1703362,1703931,-,570,protein_coding,GCF_000013465.1,SAUSA300_1553,nicotinate (nicotinamide) nucleotide adenylyltransferase,nadD
SAUSA300_RS08470,NC_007793.1,1703934,1704224,-,291,protein_coding,GCF_000013465.1,SAUSA300_1554,ribosome assembly RNA-binding protein YhbY,yhbY
SAUSA300_RS08475,NC_007793.1,1704228,1705034,-,807,protein_coding,GCF_000013465.1,SAUSA300_1555,shikimate dehydrogenase,aroE
SAUSA300_RS08480,NC_007793.1,1705048,1706148,-,1101,protein_coding,GCF_000013465.1,SAUSA300_1556,ribosome biogenesis GTPase YqeH,yqeH
SAUSA300_RS08485,NC_007793.1,1706149,1706676,-,528,protein_coding,GCF_000013465.1,SAUSA300_1557,YqeG family HAD IIIA-type phosphatase,NA
SAUSA300_RS08490,NC_007793.1,1706696,1707382,-,687,protein_coding,GCF_000013465.1,SAUSA300_1558,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,mtnN
SAUSA300_RS08500,NC_007793.1,1707696,1707965,+,270,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08505,NC_007793.1,1708167,1708919,-,753,protein_coding,GCF_000013465.1,SAUSA300_1559,enterotoxin,NA
SAUSA300_RS08510,NC_007793.1,1709333,1710553,-,1221,protein_coding,GCF_000013465.1,SAUSA300_1560,Fic family protein,NA
SAUSA300_RS08515,NC_007793.1,1710842,1712071,-,1230,protein_coding,GCF_000013465.1,SAUSA300_1561,divalent metal cation transporter,NA
SAUSA300_RS08520,NC_007793.1,1712084,1712836,-,753,protein_coding,GCF_000013465.1,SAUSA300_1562,5-oxoprolinase subunit PxpA,pxpA
SAUSA300_RS08525,NC_007793.1,1712836,1714197,-,1362,protein_coding,GCF_000013465.1,SAUSA300_1563,acetyl-CoA carboxylase biotin carboxylase subunit,NA
SAUSA300_RS08530,NC_007793.1,1714211,1714660,-,450,protein_coding,GCF_000013465.1,SAUSA300_1564,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,NA
SAUSA300_RS08535,NC_007793.1,1714662,1715672,-,1011,protein_coding,GCF_000013465.1,SAUSA300_1565,biotin-dependent carboxyltransferase family protein,NA
SAUSA300_RS08540,NC_007793.1,1715662,1716396,-,735,protein_coding,GCF_000013465.1,SAUSA300_1566,5-oxoprolinase subunit PxpB,pxpB
SAUSA300_RS08545,NC_007793.1,1716722,1717198,-,477,protein_coding,GCF_000013465.1,SAUSA300_1567,transcription elongation factor GreA,greA
SAUSA300_RS08550,NC_007793.1,1717226,1717849,-,624,protein_coding,GCF_000013465.1,SAUSA300_1568,uridine kinase,NA
SAUSA300_RS08555,NC_007793.1,1717849,1719117,-,1269,protein_coding,GCF_000013465.1,SAUSA300_1569,U32 family peptidase,NA
SAUSA300_RS08560,NC_007793.1,1719129,1720052,-,924,protein_coding,GCF_000013465.1,SAUSA300_1570,U32 family peptidase,NA
SAUSA300_RS08565,NC_007793.1,1720055,1720693,-,639,protein_coding,GCF_000013465.1,SAUSA300_1571,O-methyltransferase,NA
SAUSA300_RS08570,NC_007793.1,1720978,1721286,-,309,protein_coding,GCF_000013465.1,SAUSA300_1572,DUF1292 domain-containing protein,NA
SAUSA300_RS08575,NC_007793.1,1721301,1721729,-,429,protein_coding,GCF_000013465.1,SAUSA300_1573,Holliday junction resolvase RuvX,ruvX
SAUSA300_RS08580,NC_007793.1,1721733,1721993,-,261,protein_coding,GCF_000013465.1,SAUSA300_1574,IreB family regulatory phosphoprotein,NA
SAUSA300_RS08585,NC_007793.1,1722056,1724686,-,2631,protein_coding,GCF_000013465.1,SAUSA300_1575,alanine--tRNA ligase,alaS
SAUSA300_RS08590,NC_007793.1,1725029,1727506,-,2478,protein_coding,GCF_000013465.1,SAUSA300_1576,ATP-dependent RecD-like DNA helicase,NA
SAUSA300_RS08595,NC_007793.1,1727508,1728176,-,669,protein_coding,GCF_000013465.1,SAUSA300_1577,tetratricopeptide repeat protein,NA
SAUSA300_RS08600,NC_007793.1,1728638,1729756,-,1119,protein_coding,GCF_000013465.1,SAUSA300_1578,tRNA 2-thiouridine(34) synthase MnmA,mnmA
SAUSA300_RS08605,NC_007793.1,1729757,1730899,-,1143,protein_coding,GCF_000013465.1,SAUSA300_1579,cysteine desulfurase,NA
SAUSA300_RS08610,NC_007793.1,1731211,1732224,+,1014,protein_coding,GCF_000013465.1,SAUSA300_1580,LLM class flavin-dependent oxidoreductase,NA
SAUSA300_RS08615,NC_007793.1,1732461,1732607,-,147,protein_coding,GCF_000013465.1,SAUSA300_1581,hypothetical protein,NA
SAUSA300_RS08620,NC_007793.1,1732647,1732829,-,183,protein_coding,GCF_000013465.1,SAUSA300_1582,CsbD family protein,NA
SAUSA300_RS08625,NC_007793.1,1732929,1733351,-,423,protein_coding,GCF_000013465.1,SAUSA300_1583,Rrf2 family transcriptional regulator,NA
SAUSA300_RS08630,NC_007793.1,1733436,1734710,+,1275,protein_coding,GCF_000013465.1,SAUSA300_1584,replication-associated recombination protein A,NA
SAUSA300_RS08635,NC_007793.1,1734871,1735644,-,774,protein_coding,GCF_000013465.1,SAUSA300_1585,tRNA threonylcarbamoyladenosine dehydratase,NA
SAUSA300_RS08640,NC_007793.1,1735644,1735772,-,129,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS15370,NC_007793.1,1735837,1736027,-,191,ncRNA,GCF_000013465.1,NA,NA,NA
SAUSA300_RS08645,NC_007793.1,1736105,1737871,-,1767,protein_coding,GCF_000013465.1,SAUSA300_1586,aspartate--tRNA ligase,aspS
SAUSA300_RS08650,NC_007793.1,1737887,1739149,-,1263,protein_coding,GCF_000013465.1,SAUSA300_1587,histidine--tRNA ligase,NA
SAUSA300_RS08655,NC_007793.1,1739610,1740485,-,876,protein_coding,GCF_000013465.1,SAUSA300_1588,cell wall amidase,NA
SAUSA300_RS08660,NC_007793.1,1740482,1740934,-,453,protein_coding,GCF_000013465.1,SAUSA300_1589,D-tyrosyl-tRNA(Tyr) deacylase,NA
SAUSA300_RS08665,NC_007793.1,1740946,1743135,-,2190,protein_coding,GCF_000013465.1,SAUSA300_1590,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",NA
SAUSA300_RS08670,NC_007793.1,1743563,1744081,-,519,protein_coding,GCF_000013465.1,SAUSA300_1591,adenine phosphoribosyltransferase,NA
SAUSA300_RS08675,NC_007793.1,1744103,1746376,-,2274,protein_coding,GCF_000013465.1,SAUSA300_1592,single-stranded-DNA-specific exonuclease RecJ,recJ
SAUSA300_RS08680,NC_007793.1,1746579,1748858,-,2280,protein_coding,GCF_000013465.1,SAUSA300_1593,protein translocase subunit SecDF,NA
SAUSA300_RS08685,NC_007793.1,1749133,1749393,-,261,protein_coding,GCF_000013465.1,SAUSA300_1594,preprotein translocase subunit YajC,yajC
SAUSA300_RS08690,NC_007793.1,1749412,1750551,-,1140,protein_coding,GCF_000013465.1,SAUSA300_1595,tRNA guanosine(34) transglycosylase Tgt,tgt
SAUSA300_RS08695,NC_007793.1,1750574,1751599,-,1026,protein_coding,GCF_000013465.1,SAUSA300_1596,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,queA
SAUSA300_RS08700,NC_007793.1,1751601,1752605,-,1005,protein_coding,GCF_000013465.1,SAUSA300_1597,Holliday junction branch migration DNA helicase RuvB,ruvB
SAUSA300_RS08705,NC_007793.1,1752637,1753239,-,603,protein_coding,GCF_000013465.1,SAUSA300_1598,Holliday junction branch migration protein RuvA,ruvA
SAUSA300_RS08710,NC_007793.1,1753253,1753708,-,456,protein_coding,GCF_000013465.1,SAUSA300_1599,ACT domain-containing protein,NA
SAUSA300_RS08715,NC_007793.1,1753721,1755013,-,1293,protein_coding,GCF_000013465.1,SAUSA300_1600,GTPase ObgE,obgE
SAUSA300_RS08720,NC_007793.1,1755368,1755652,-,285,protein_coding,GCF_000013465.1,SAUSA300_1601,50S ribosomal protein L27,NA
SAUSA300_RS08725,NC_007793.1,1755664,1755984,-,321,protein_coding,GCF_000013465.1,SAUSA300_1602,ribosomal-processing cysteine protease Prp,NA
SAUSA300_RS08730,NC_007793.1,1755990,1756298,-,309,protein_coding,GCF_000013465.1,SAUSA300_1603,50S ribosomal protein L21,rplU
SAUSA300_RS08735,NC_007793.1,1756465,1756995,-,531,protein_coding,GCF_000013465.1,SAUSA300_1604,rod shape-determining protein MreD,mreD
SAUSA300_RS08740,NC_007793.1,1756995,1757837,-,843,protein_coding,GCF_000013465.1,SAUSA300_1605,rod shape-determining protein MreC,mreC
SAUSA300_RS08745,NC_007793.1,1758037,1758156,-,120,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08750,NC_007793.1,1758230,1758703,-,474,protein_coding,GCF_000013465.1,SAUSA300_1606,DUF4930 family protein,NA
SAUSA300_RS15375,NC_007793.1,1758863,1759060,+,198,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08755,NC_007793.1,1759177,1759461,-,285,protein_coding,GCF_000013465.1,SAUSA300_1607,hypothetical protein,NA
SAUSA300_RS08760,NC_007793.1,1759529,1760185,-,657,protein_coding,GCF_000013465.1,SAUSA300_1608,JAB domain-containing protein,NA
SAUSA300_RS08765,NC_007793.1,1760212,1760919,-,708,protein_coding,GCF_000013465.1,SAUSA300_1609,prepilin peptidase,NA
SAUSA300_RS08775,NC_007793.1,1761189,1762460,-,1272,protein_coding,GCF_000013465.1,SAUSA300_1610,bifunctional folylpolyglutamate synthase/dihydrofolate synthase,NA
SAUSA300_RS08780,NC_007793.1,1762473,1765103,-,2631,protein_coding,GCF_000013465.1,SAUSA300_1611,valine--tRNA ligase,NA
SAUSA300_RS08785,NC_007793.1,1765506,1766066,+,561,protein_coding,GCF_000013465.1,SAUSA300_1612,DNA-3-methyladenine glycosylase I,NA
SAUSA300_RS08790,NC_007793.1,1766289,1767362,-,1074,protein_coding,GCF_000013465.1,SAUSA300_1613,AbrB family transcriptional regulator,NA
SAUSA300_RS08795,NC_007793.1,1767396,1767497,-,102,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08800,NC_007793.1,1767558,1768844,-,1287,protein_coding,GCF_000013465.1,SAUSA300_1614,"glutamate-1-semialdehyde 2,1-aminomutase",NA
SAUSA300_RS08805,NC_007793.1,1768892,1769866,-,975,protein_coding,GCF_000013465.1,SAUSA300_1615,porphobilinogen synthase,hemB
SAUSA300_RS08810,NC_007793.1,1769869,1770537,-,669,protein_coding,GCF_000013465.1,SAUSA300_1616,uroporphyrinogen-III synthase,NA
SAUSA300_RS08815,NC_007793.1,1770559,1771485,-,927,protein_coding,GCF_000013465.1,SAUSA300_1617,hydroxymethylbilane synthase,hemC
SAUSA300_RS08820,NC_007793.1,1771527,1772342,-,816,protein_coding,GCF_000013465.1,SAUSA300_1618,cytochrome c assembly protein,NA
SAUSA300_RS08825,NC_007793.1,1772364,1773710,-,1347,protein_coding,GCF_000013465.1,SAUSA300_1619,glutamyl-tRNA reductase,NA
SAUSA300_RS08830,NC_007793.1,1773927,1774517,-,591,protein_coding,GCF_000013465.1,SAUSA300_1620,YihA family ribosome biogenesis GTP-binding protein,NA
SAUSA300_RS08835,NC_007793.1,1774671,1775933,-,1263,protein_coding,GCF_000013465.1,SAUSA300_1621,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX
SAUSA300_RS08840,NC_007793.1,1776084,1777385,-,1302,protein_coding,GCF_000013465.1,SAUSA300_1622,trigger factor,NA
SAUSA300_RS08845,NC_007793.1,1777433,1777543,-,111,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08850,NC_007793.1,1777548,1778477,-,930,protein_coding,GCF_000013465.1,SAUSA300_1623,hypothetical protein,NA
SAUSA300_RS08855,NC_007793.1,1778496,1779104,-,609,protein_coding,GCF_000013465.1,SAUSA300_1624,NUDIX domain-containing protein,NA
SAUSA300_RS08865,NC_007793.1,1779246,1779602,-,357,protein_coding,GCF_000013465.1,SAUSA300_1625,50S ribosomal protein L20,rplT
SAUSA300_RS08870,NC_007793.1,1779649,1779849,-,201,protein_coding,GCF_000013465.1,SAUSA300_1626,50S ribosomal protein L35,rpmI
SAUSA300_RS08875,NC_007793.1,1779878,1780405,-,528,protein_coding,GCF_000013465.1,SAUSA300_1627,translation initiation factor IF-3,infC
SAUSA300_RS08880,NC_007793.1,1780634,1782127,-,1494,protein_coding,GCF_000013465.1,SAUSA300_1628,amino acid permease,NA
SAUSA300_RS08885,NC_007793.1,1782553,1784490,-,1938,protein_coding,GCF_000013465.1,SAUSA300_1629,threonine--tRNA ligase,thrS
SAUSA300_RS08890,NC_007793.1,1784688,1784810,-,123,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS08895,NC_007793.1,1784903,1785823,-,921,protein_coding,GCF_000013465.1,SAUSA300_1630,primosomal protein DnaI,dnaI
SAUSA300_RS08900,NC_007793.1,1785823,1787223,-,1401,protein_coding,GCF_000013465.1,SAUSA300_1631,helicase DnaB,NA
SAUSA300_RS08905,NC_007793.1,1787224,1787694,-,471,protein_coding,GCF_000013465.1,SAUSA300_1632,transcriptional repressor NrdR,nrdR
SAUSA300_RS08910,NC_007793.1,1787904,1788929,-,1026,protein_coding,GCF_000013465.1,SAUSA300_1633,type I glyceraldehyde-3-phosphate dehydrogenase,gap
SAUSA300_RS08915,NC_007793.1,1789099,1789722,-,624,protein_coding,GCF_000013465.1,SAUSA300_1634,dephospho-CoA kinase,NA
SAUSA300_RS08920,NC_007793.1,1789738,1790610,-,873,protein_coding,GCF_000013465.1,SAUSA300_1635,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,mutM
SAUSA300_RS08925,NC_007793.1,1790626,1793256,-,2631,protein_coding,GCF_000013465.1,SAUSA300_1636,DNA polymerase I,polA
SAUSA300_RS08930,NC_007793.1,1793550,1795037,-,1488,protein_coding,GCF_000013465.1,SAUSA300_1637,hypothetical protein,NA
SAUSA300_RS08935,NC_007793.1,1795536,1797197,-,1662,protein_coding,GCF_000013465.1,SAUSA300_1638,PAS domain S-box protein,NA
SAUSA300_RS08940,NC_007793.1,1797197,1797901,-,705,protein_coding,GCF_000013465.1,SAUSA300_1639,response regulator transcription factor,NA
SAUSA300_RS08950,NC_007793.1,1798291,1799559,-,1269,protein_coding,GCF_000013465.1,SAUSA300_1640,NADP-dependent isocitrate dehydrogenase,NA
SAUSA300_RS08955,NC_007793.1,1799608,1800729,-,1122,protein_coding,GCF_000013465.1,SAUSA300_1641,citrate synthase,NA
SAUSA300_RS08960,NC_007793.1,1801077,1802438,+,1362,protein_coding,GCF_000013465.1,SAUSA300_1642,amino acid permease,NA
SAUSA300_RS15380,NC_007793.1,1802471,1804122,-,1652,pseudogene,GCF_000013465.1,SAUSA300_1643,IS1182 family transposase,NA
SAUSA300_RS08975,NC_007793.1,1804763,1806520,-,1758,protein_coding,GCF_000013465.1,SAUSA300_1644,pyruvate kinase,pyk
SAUSA300_RS08980,NC_007793.1,1806542,1807510,-,969,protein_coding,GCF_000013465.1,SAUSA300_1645,ATP-dependent 6-phosphofructokinase,NA
SAUSA300_RS08985,NC_007793.1,1807779,1808723,-,945,protein_coding,GCF_000013465.1,SAUSA300_1646,acetyl-CoA carboxylase carboxyltransferase subunit alpha,NA
SAUSA300_RS08990,NC_007793.1,1808723,1809580,-,858,protein_coding,GCF_000013465.1,SAUSA300_1647,acetyl-CoA carboxylase carboxyltransferase subunit beta,NA
SAUSA300_RS08995,NC_007793.1,1809775,1811004,-,1230,protein_coding,GCF_000013465.1,SAUSA300_1648,NAD-dependent malic enzyme 4,NA
SAUSA300_RS09000,NC_007793.1,1811454,1814651,-,3198,protein_coding,GCF_000013465.1,SAUSA300_1649,DNA polymerase III subunit alpha,NA
SAUSA300_RS09005,NC_007793.1,1814672,1815613,-,942,protein_coding,GCF_000013465.1,SAUSA300_1650,pApA hydrolase Pde2,pde2
SAUSA300_RS09010,NC_007793.1,1815874,1817172,-,1299,protein_coding,GCF_000013465.1,SAUSA300_1651,CBS domain-containing protein,NA
SAUSA300_RS09015,NC_007793.1,1817377,1817790,+,414,protein_coding,GCF_000013465.1,SAUSA300_1652,universal stress protein,NA
